id,name,description,language__id
eng-amphibians,Amphibians,,eng
eng-arachnida,Arachnida,,eng
eng-birds,Birds,,eng
eng-bulbsherbs,Bulbs & herbs,,eng
eng-coliiformes,Coliiformes,,eng
eng-creepersclimbers,Creepers & climbers,,eng
eng-curcurbitales,Curcurbitales,,eng
eng-dwarfshrubs,Dwarf shrubs,,eng
eng-ebenales,Ebenales,,eng
eng-falconiformesoraccipitriformes,Falconiformes or Accipitriformes,,eng
eng-fungi,Fungi,,eng
eng-geraniales,Geraniales,,eng
eng-grassessedges,Grasses & sedges,,eng
eng-insects,Insects,,eng
eng-mammals,Mammals,,eng
eng-neuroptera,Neuroptera,,eng
eng-otherinvertebrates,Other invertebrates,,eng
eng-pteridales,Pteridales,,eng
eng-reptiles,Reptiles,,eng
eng-rhamnales,Rhamnales,,eng
eng-rubiales,Rubiales,,eng
eng-saxifragales,Saxifragales,,eng
eng-shrubs,Shrubs,,eng
eng-spidersotherarachnids,Spiders & other arachnids,,eng
eng-spirobolida,Spirobolida,,eng
eng-succulents,Succulents,,eng
eng-trees,Trees,,eng
eng-tulostomatales,Tulostomatales,,eng
eng-turniciformes,Turniciformes,,eng
eng-unspecifiedform,Unspecified form,,eng
eng-urticales,Urticales,,eng
